name: dd497c08-853f-42fd-983d-c1182443a3cd num_items: 10
token, class_id, token_value, token_tf, token_df
обогревательных, text, 8.557247929275036e-05, 1.0, 1.0
вдали, text, 8.557247929275036e-05, 1.0, 1.0
стороне, text, 8.557247929275036e-05, 1.0, 1.0
внутренней, text, 8.557247929275036e-05, 1.0, 1.0
производителя, text, 8.557247929275036e-05, 1.0, 1.0
стирке, text, 8.557247929275036e-05, 1.0, 1.0
правильно, text, 8.557247929275036e-05, 1.0, 1.0
желательно, text, 8.557247929275036e-05, 1.0, 1.0
худобу, text, 8.557247929275036e-05, 1.0, 1.0
свободного, text, 8.557247929275036e-05, 1.0, 1.0
предпочтение, text, 8.557247929275036e-05, 1.0, 1.0
отдавать, text, 8.557247929275036e-05, 1.0, 1.0
драпировку, text, 8.557247929275036e-05, 1.0, 1.0
кофт, text, 8.557247929275036e-05, 1.0, 1.0
подбирать, text, 8.557247929275036e-05, 1.0, 1.0
фигуре, text, 8.557247929275036e-05, 1.0, 1.0
придаст, text, 8.557247929275036e-05, 1.0, 1.0
клещ, text, 8.557247929275036e-05, 1.0, 1.0
подойдут, text, 8.557247929275036e-05, 1.0, 1.0
области, text, 8.557247929275036e-05, 1.0, 1.0
драпировками, text, 8.557247929275036e-05, 1.0, 1.0
гармонично, text, 8.557247929275036e-05, 1.0, 1.0
симметрии, text, 8.557247929275036e-05, 1.0, 1.0
виду, text, 8.557247929275036e-05, 1.0, 1.0
придадут, text, 8.557247929275036e-05, 1.0, 1.0
клеточку, text, 8.557247929275036e-05, 1.0, 1.0
клеш, text, 8.557247929275036e-05, 1.0, 1.0
такого, text, 8.557247929275036e-05, 1.0, 1.0
советуют, text, 8.557247929275036e-05, 1.0, 1.0
будут, text, 8.557247929275036e-05, 1.0, 1.0
образным, text, 8.557247929275036e-05, 1.0, 1.0
наоборот, text, 8.557247929275036e-05, 1.0, 1.0
необходимость, text, 8.557247929275036e-05, 1.0, 1.0
худой, text, 8.557247929275036e-05, 1.0, 1.0
сгладить, text, 8.557247929275036e-05, 1.0, 1.0
недостатки, text, 8.557247929275036e-05, 1.0, 1.0
фигуру, text, 0.0002567174378782511, 3.0, 1.0
должна, text, 0.00017114495858550072, 2.0, 1.0
прекрасного, text, 0.00017114495858550072, 2.0, 1.0
некоторые, text, 8.557247929275036e-05, 1.0, 1.0
выбором, text, 8.557247929275036e-05, 1.0, 1.0
каждая, text, 8.557247929275036e-05, 1.0, 1.0
огромный, text, 8.557247929275036e-05, 1.0, 1.0
предлагают, text, 8.557247929275036e-05, 1.0, 1.0
замши, text, 8.557247929275036e-05, 1.0, 1.0
легкие, text, 0.00017114495858550072, 2.0, 1.0
талией, text, 8.557247929275036e-05, 1.0, 1.0
высокой, text, 8.557247929275036e-05, 1.0, 1.0
бархатные, text, 8.557247929275036e-05, 1.0, 1.0
бренд, text, 8.557247929275036e-05, 1.0, 1.0
испанский, text, 8.557247929275036e-05, 1.0, 1.0
внимания, text, 8.557247929275036e-05, 1.0, 1.0
будете, text, 8.557247929275036e-05, 1.0, 1.0
одежде, text, 8.557247929275036e-05, 1.0, 1.0
женственные, text, 8.557247929275036e-05, 1.0, 1.0
аквамарин, text, 8.557247929275036e-05, 1.0, 1.0
сказочный, text, 8.557247929275036e-05, 1.0, 1.0
осенние, text, 0.0002567174378782511, 3.0, 1.0
орхидеи, text, 8.557247929275036e-05, 1.0, 1.0
желтое, text, 8.557247929275036e-05, 1.0, 1.0
экзотика, text, 8.557247929275036e-05, 1.0, 1.0
свободный, text, 8.557247929275036e-05, 1.0, 1.0
эффектный, text, 8.557247929275036e-05, 1.0, 1.0
ролл, text, 8.557247929275036e-05, 1.0, 1.0
яркое, text, 8.557247929275036e-05, 1.0, 1.0
простая, text, 0.00017114495858550072, 2.0, 1.0
страницы, text, 8.557247929275036e-05, 1.0, 1.0
половине, text, 8.557247929275036e-05, 1.0, 1.0
первой, text, 8.557247929275036e-05, 1.0, 1.0
приехать, text, 8.557247929275036e-05, 1.0, 1.0
возможность, text, 8.557247929275036e-05, 1.0, 1.0
вносим, text, 8.557247929275036e-05, 1.0, 1.0
подтверждает, text, 8.557247929275036e-05, 1.0, 1.0
очереди, text, 8.557247929275036e-05, 1.0, 1.0
умеренные, text, 8.557247929275036e-05, 1.0, 1.0
зале, text, 8.557247929275036e-05, 1.0, 1.0
перерывов, text, 8.557247929275036e-05, 1.0, 1.0
заблаговременно, text, 8.557247929275036e-05, 1.0, 1.0
приобретают, text, 8.557247929275036e-05, 1.0, 1.0
снегурочки, text, 8.557247929275036e-05, 1.0, 1.0
ограничено, text, 8.557247929275036e-05, 1.0, 1.0
пониманием, text, 8.557247929275036e-05, 1.0, 1.0
просим, text, 8.557247929275036e-05, 1.0, 1.0
предлагаем, text, 8.557247929275036e-05, 1.0, 1.0
цифровую, text, 8.557247929275036e-05, 1.0, 1.0
портативную, text, 8.557247929275036e-05, 1.0, 1.0
поставщиков, text, 8.557247929275036e-05, 1.0, 1.0
цен, text, 8.557247929275036e-05, 1.0, 1.0
ажиотажа, text, 0.00017114495858550072, 2.0, 1.0
предпраздничного, text, 0.00017114495858550072, 2.0, 1.0
хотели, text, 8.557247929275036e-05, 1.0, 1.0
вверх, text, 8.557247929275036e-05, 1.0, 1.0
поля, text, 8.557247929275036e-05, 1.0, 1.0
дата, text, 8.557247929275036e-05, 1.0, 1.0
персональный, text, 8.557247929275036e-05, 1.0, 1.0
доступна, text, 8.557247929275036e-05, 1.0, 1.0
станет, text, 8.557247929275036e-05, 1.0, 1.0
выслать, text, 8.557247929275036e-05, 1.0, 1.0
подарочную, text, 8.557247929275036e-05, 1.0, 1.0
упаковать, text, 8.557247929275036e-05, 1.0, 1.0
правилами, text, 0.0002567174378782511, 3.0, 1.0
